Date,Close,High,Low,Open,Volume
2010-04-26,5322.450195,5342.350098,5299.350098,5299.350098,144428508
2010-04-27,5308.350098,5330.549805,5301.399902,5322.100098,178645117
2010-04-28,5215.450195,5308.25,5202.450195,5308.200195,171683419
2010-04-29,5254.149902,5264.75,5214.799805,5215.25,152495257
2010-04-30,5278,5294.799805,5254.200195,5254.200195,111445668
2010-05-03,5222.75,5278.700195,5210.049805,5278.399902,145539730
2010-05-04,5148.5,5250.149902,5134.850098,5223.899902,207679138
2010-05-05,5124.899902,5148.350098,5056.5,5148.350098,192105707
2010-05-06,5090.850098,5124.899902,5037.75,5124.399902,233345722
2010-05-07,5018.049805,5085.649902,4984.600098,5072.299805,191632764
2010-05-10,5193.600098,5203.299805,5026.600098,5026.600098,168751932
2010-05-11,5136.149902,5206.700195,5126.5,5189.75,187111358
2010-05-12,5156.649902,5172.850098,5098.799805,5133.75,179378582
2010-05-13,5178.899902,5212.700195,5147.950195,5157.549805,144381001
2010-05-14,5093.5,5192.75,5070.950195,5180.549805,169306794
2010-05-17,5059.899902,5094.549805,4966.25,5093.899902,137027239
2010-05-18,5066.200195,5105.200195,5024.25,5059.549805,212950386
2010-05-19,4919.649902,5065.100098,4908.149902,5065.100098,197303335
2010-05-20,4947.600098,4980.25,4924.299805,4924.299805,230483809
2010-05-21,4931.149902,4946.700195,4842.299805,4946.700195,184424844
2010-05-24,4943.950195,5029.549805,4923.450195,4944.299805,198187219
2010-05-25,4806.75,4946.600098,4786.450195,4945.299805,221985114
2010-05-26,4917.399902,4925.450195,4807.299805,4807.299805,238270068
2010-05-27,5003.100098,5016.600098,4897.600098,4915.149902,187947940
2010-05-28,5066.549805,5077.25,5005.600098,5005.600098,179398969
2010-05-31,5086.299805,5097.600098,5038.549805,5076.100098,183016039
2010-06-01,4970.200195,5086.950195,4961.049805,5086.25,217930824
2010-06-02,5019.850098,5031.200195,4967.049805,4970.75,174606394
2010-06-03,5110.5,5125.700195,5020.149902,5020.149902,174561315
2010-06-04,5135.5,5147.899902,5091.600098,5112.600098,175607171
2010-06-07,5034,5132.950195,5004.25,5132.950195,180656558
2010-06-08,4987.100098,5071.350098,4967.299805,5036.700195,199912934
2010-06-09,5000.299805,5050.600098,4980.100098,4985.049805,176853398
2010-06-10,5078.600098,5085.200195,4997.600098,4999.600098,198342050
2010-06-11,5119.350098,5139.049805,5078.75,5078.75,158831199
2010-06-14,5197.700195,5201.25,5120.149902,5120.149902,218930465
2010-06-15,5222.350098,5231.450195,5171.049805,5201.299805,203727420
2010-06-16,5233.350098,5255.649902,5214.899902,5225.049805,189953720
2010-06-17,5274.850098,5285.549805,5206.549805,5233.649902,205198165
2010-06-18,5262.600098,5302.299805,5245.5,5274.950195,186200103
2010-06-21,5353.299805,5366.75,5266.5,5266.5,162043358
2010-06-22,5316.549805,5354.350098,5311.049805,5353.950195,150160458
